Type,Model,Parameters,Accuracy,Precision,Fit Time,Predict Time
doc type,LinearSVC,"{'model__C': 1000.0, 'model__max_iter': 2000, 'model__loss': 'hinge'}",0.49316580354868833,0.28501229104610776,52.200544595718384,0.0029892921447753906
doc type,LinearSVC,"{'model__C': 1000.0, 'model__max_iter': 2000, 'model__loss': 'squared_hinge'}",0.4696493760081501,0.28966538298597644,57.10122489929199,0.0030252933502197266
doc type,LinearSVC,"{'model__C': 10000.0, 'model__max_iter': 500, 'model__loss': 'hinge'}",0.49240173189574665,0.3150736609026372,23.656618356704712,0.0039980411529541016
doc type,LinearSVC,"{'model__C': 10000.0, 'model__max_iter': 500, 'model__loss': 'squared_hinge'}",0.4928262161473809,0.3042435788438127,23.13519525527954,0.0030007362365722656
doc type,LinearSVC,"{'model__C': 10000.0, 'model__max_iter': 1000, 'model__loss': 'hinge'}",0.49944817047287543,0.29709804893240555,38.26094651222229,0.003969669342041016
doc type,LinearSVC,"{'model__C': 10000.0, 'model__max_iter': 1000, 'model__loss': 'squared_hinge'}",0.47049834451141864,0.2813920045880051,37.910303592681885,0.003999948501586914
doc type,LinearSVC,"{'model__C': 10000.0, 'model__max_iter': 2000, 'model__loss': 'hinge'}",0.45139655318787675,0.26262393170597537,63.40882396697998,0.003999471664428711
doc type,LinearSVC,"{'model__C': 10000.0, 'model__max_iter': 2000, 'model__loss': 'squared_hinge'}",0.46633839884540285,0.2724042452883414,61.94724464416504,0.00396728515625
doc type,SGDClassifier,"{'model__loss': 'hinge', 'model__alpha': 1e-06, 'model__penalty': 'l2', 'model__max_iter': 100, 'model__learning_rate': 'constant', 'model__eta0': 0.01}",0.6797690805671109,0.5369585560980301,2.056089401245117,0.004998207092285156
doc type,SGDClassifier,"{'model__loss': 'hinge', 'model__alpha': 1e-06, 'model__penalty': 'l2', 'model__max_iter': 100, 'model__learning_rate': 'constant', 'model__eta0': 0.1}",0.6781560404109007,0.5312141407141144,1.4490013122558594,0.005999565124511719
doc type,SGDClassifier,"{'model__loss': 'hinge', 'model__alpha': 1e-06, 'model__penalty': 'l2', 'model__max_iter': 100, 'model__learning_rate': 'constant', 'model__eta0': 1}",0.634688853043552,0.4671132956937163,1.435530424118042,0.006000518798828125
doc type,SGDClassifier,"{'model__loss': 'hinge', 'model__alpha': 1e-06, 'model__penalty': 'l2', 'model__max_iter': 100, 'model__learning_rate': 'optimal', 'model__eta0': 0.01}",0.6236522625010612,0.45243604161181117,2.5675816535949707,0.0059702396392822266
doc type,SGDClassifier,"{'model__loss': 'hinge', 'model__alpha': 1e-06, 'model__penalty': 'l2', 'model__max_iter': 100, 'model__learning_rate': 'optimal', 'model__eta0': 0.1}",0.6248408184056371,0.4591299891051315,2.5357425212860107,0.0049991607666015625
doc type,SGDClassifier,"{'model__loss': 'hinge', 'model__alpha': 1e-06, 'model__penalty': 'l2', 'model__max_iter': 100, 'model__learning_rate': 'optimal', 'model__eta0': 1}",0.6277273113167502,0.46161550004071994,2.6016199588775635,0.005968809127807617
doc type,SGDClassifier,"{'model__loss': 'hinge', 'model__alpha': 1e-06, 'model__penalty': 'l2', 'model__max_iter': 100, 'model__learning_rate': 'adaptive', 'model__eta0': 0.01}",0.6807878427710332,0.5536504885221749,4.629262924194336,0.0049746036529541016
doc type,SGDClassifier,"{'model__loss': 'hinge', 'model__alpha': 1e-06, 'model__penalty': 'l2', 'model__max_iter': 100, 'model__learning_rate': 'adaptive', 'model__eta0': 0.1}",0.680957636471687,0.529489195304143,5.668895483016968,0.005998849868774414
doc type,SGDClassifier,"{'model__loss': 'hinge', 'model__alpha': 1e-06, 'model__penalty': 'l2', 'model__max_iter': 100, 'model__learning_rate': 'adaptive', 'model__eta0': 1}",0.6298497325749215,0.4579203776730456,6.418584108352661,0.005968570709228516
doc type,SGDClassifier,"{'model__loss': 'hinge', 'model__alpha': 1e-06, 'model__penalty': 'l2', 'model__max_iter': 200, 'model__learning_rate': 'constant', 'model__eta0': 0.01}",0.6795143900161305,0.5428454417375084,1.5575716495513916,0.005998373031616211
doc type,SGDClassifier,"{'model__loss': 'hinge', 'model__alpha': 1e-06, 'model__penalty': 'l2', 'model__max_iter': 200, 'model__learning_rate': 'constant', 'model__eta0': 0.1}",0.680957636471687,0.5316499355532449,1.5013375282287598,0.006001472473144531
doc type,SGDClassifier,"{'model__loss': 'hinge', 'model__alpha': 1e-06, 'model__penalty': 'l2', 'model__max_iter': 200, 'model__learning_rate': 'constant', 'model__eta0': 1}",0.6355378215468206,0.46258351343280785,1.4710016250610352,0.005999088287353516
doc type,SGDClassifier,"{'model__loss': 'hinge', 'model__alpha': 1e-06, 'model__penalty': 'l2', 'model__max_iter': 200, 'model__learning_rate': 'optimal', 'model__eta0': 0.01}",0.6245861278546566,0.45448241061253225,2.576200008392334,0.005968570709228516
doc type,SGDClassifier,"{'model__loss': 'hinge', 'model__alpha': 1e-06, 'model__penalty': 'l2', 'model__max_iter': 200, 'model__learning_rate': 'optimal', 'model__eta0': 0.1}",0.6251804058069446,0.4596323503014443,2.5039689540863037,0.004973649978637695
doc type,SGDClassifier,"{'model__loss': 'hinge', 'model__alpha': 1e-06, 'model__penalty': 'l2', 'model__max_iter': 200, 'model__learning_rate': 'optimal', 'model__eta0': 1}",0.6248408184056371,0.4536526398988979,2.5084404945373535,0.005964040756225586
doc type,SGDClassifier,"{'model__loss': 'hinge', 'model__alpha': 1e-06, 'model__penalty': 'l2', 'model__max_iter': 200, 'model__learning_rate': 'adaptive', 'model__eta0': 0.01}",0.6806180490703795,0.5532634667051308,4.638487815856934,0.005969524383544922
doc type,SGDClassifier,"{'model__loss': 'hinge', 'model__alpha': 1e-06, 'model__penalty': 'l2', 'model__max_iter': 200, 'model__learning_rate': 'adaptive', 'model__eta0': 0.1}",0.6793445963154767,0.529208858563807,5.73817777633667,0.005967140197753906
doc type,SGDClassifier,"{'model__loss': 'hinge', 'model__alpha': 1e-06, 'model__penalty': 'l2', 'model__max_iter': 200, 'model__learning_rate': 'adaptive', 'model__eta0': 1}",0.6278971050174038,0.455696090889426,6.359574794769287,0.005991935729980469
